GeneID,Pool
CNAG_01209,AP2
CNAG_01211,AP2
CNAG_01265,AP2
CNAG_01308,AP2
CNAG_01309,AP2
CNAG_01310,AP2
CNAG_01315,AP2
CNAG_01347,AP2
CNAG_01351,AP2
CNAG_01357,AP2
CNAG_01376,AP2
CNAG_01377,AP2
CNAG_01403,AP2
CNAG_01408,AP2
CNAG_01419,AP2
CNAG_01436,AP2
CNAG_01444,AP2
CNAG_01471,AP2
CNAG_01504,AP2
CNAG_01536,AP2
CNAG_01554,AP2
CNAG_01560,AP2
CNAG_01561,AP2
CNAG_01579,AP2
CNAG_01583,AP2
CNAG_01587,AP2
CNAG_01592,AP2
CNAG_01616,AP2
CNAG_01622,AP2
CNAG_01623,AP2
CNAG_01632,AP2
CNAG_01649,AP2
CNAG_01655,AP2
CNAG_01658,AP2
CNAG_01673,AP2
CNAG_01694,AP2
CNAG_01720,AP2
CNAG_01731,AP2
CNAG_01740,AP2
CNAG_01779,AP2
CNAG_01798,AP2
CNAG_01828,AP2
CNAG_01832,AP2
CNAG_01837,AP2
CNAG_01857,AP2
CNAG_01867,AP2
CNAG_01868,AP2
CNAG_01870,AP2
CNAG_01941,AP2
CNAG_01958,AP2
CNAG_01978,AP2
CNAG_02020,AP2
CNAG_02052,AP2
CNAG_02067,AP2
CNAG_02086,AP2
CNAG_02092,AP2
CNAG_02108,AP2
CNAG_02109,AP2
CNAG_02156,AP2
CNAG_02186,AP2
CNAG_02196,AP2
CNAG_02197,AP2
CNAG_02232,AP2
CNAG_02261,AP2
CNAG_02281,AP2
CNAG_02290,AP2
CNAG_02310,AP2
CNAG_02313,AP2
CNAG_02341,AP2
CNAG_02376,AP2
CNAG_02402,AP2
CNAG_02416,AP2
CNAG_02419,AP2
CNAG_02425,AP2
CNAG_02436,AP2
CNAG_02444,AP2
CNAG_02468,AP2
CNAG_02490,AP2
CNAG_02492,AP2
CNAG_02501,AP2
CNAG_02515,AP2
CNAG_02568,AP2
CNAG_02575,AP2
CNAG_02584,AP2
CNAG_02597,AP2
CNAG_02605,AP2
CNAG_02606,AP2
CNAG_02662,AP2
CNAG_02664,AP2
CNAG_02670,AP2
CNAG_02687,AP2
CNAG_02715,AP2
CNAG_02726,AP2
CNAG_02728,AP2
CNAG_02755,AP2
CNAG_02756,AP2
CNAG_02766,AP2
CNAG_02785,AP2
CNAG_02793,AP2
CNAG_02812,AP2
CNAG_02825,AP2
CNAG_02826,AP2
CNAG_02833,AP2
CNAG_02834,AP2
CNAG_02853,AP2
CNAG_02868,AP2
CNAG_02906,AP2
CNAG_02907,AP2
CNAG_02921,AP2
CNAG_02922,AP2
CNAG_02927,AP2
CNAG_02938,AP2
CNAG_02975,AP2
CNAG_02989,AP2
CNAG_02995,AP2
CNAG_03008,AP2
CNAG_03023,AP2
CNAG_03028,AP2
CNAG_03031,AP2
CNAG_03038,AP2
CNAG_03065,AP2
CNAG_03070,AP2
CNAG_03171,AP2
CNAG_03174,AP2
CNAG_03235,AP2
CNAG_03291,AP2
CNAG_03298,AP2
CNAG_03309,AP2
CNAG_03342,AP2
CNAG_03348,AP2
CNAG_03367,AP2
CNAG_03372,AP2
CNAG_03373,AP2
CNAG_03375,AP2
CNAG_03380,AP2
CNAG_03387,AP2
CNAG_03416,AP2
CNAG_03417,AP2
CNAG_03444,AP2
CNAG_03483,AP2
CNAG_03528,AP2
CNAG_03553,AP2
CNAG_03575,AP2
CNAG_03607,AP2
CNAG_03608,AP2
CNAG_03609,AP2
CNAG_03626,AP2
CNAG_03628,AP2
CNAG_03641,AP2
CNAG_03652,AP2
CNAG_03661,AP2
CNAG_03687,AP2
CNAG_03708,AP2
CNAG_03751,AP2
CNAG_03752,AP2
CNAG_03811,AP2
CNAG_03821,AP2
CNAG_03832,AP2
CNAG_03834,AP2
CNAG_03839,AP2
CNAG_03850,AP2
CNAG_03862,AP2
CNAG_03863,AP2
CNAG_03877,AP2
CNAG_03886,AP2
CNAG_03893,AP2
CNAG_03900,AP2
CNAG_03923,AP2
CNAG_03932,AP2
CNAG_03963,AP2
CNAG_03967,AP2
CNAG_03968,AP2
CNAG_03988,AP2
CNAG_03989,AP2
CNAG_04002,AP2
CNAG_04005,AP2
CNAG_04113,AP2
CNAG_04118,AP2
CNAG_04191,AP2
CNAG_04198,AP2
CNAG_04203,AP2
CNAG_04212,AP2
CNAG_04232,AP2
CNAG_04233,AP2
CNAG_04241,AP2
CNAG_04253,AP2
CNAG_04266,AP2
CNAG_04268,AP2
CNAG_04275,AP2
CNAG_04289,AP2
CNAG_04293,AP2
CNAG_04302,AP2
CNAG_04316,AP2
CNAG_04341,AP2
CNAG_04354,AP2
CNAG_04361,AP2
CNAG_04368,AP2
CNAG_04384,AP2
CNAG_04403,AP2
CNAG_04488,AP2
CNAG_04508,AP2
CNAG_04512,AP2
CNAG_04531,AP2
CNAG_04545,AP2
CNAG_04583,AP2
CNAG_04607,AP2
CNAG_04647,AP2
CNAG_04665,AP2
CNAG_04671,AP2
CNAG_04674,AP2
CNAG_04710,AP2
CNAG_04727,AP2
CNAG_04796,AP2
CNAG_04806,AP2
CNAG_04809,AP2
CNAG_04922,AP2
CNAG_04943,AP2
CNAG_04959,AP2
CNAG_04985,AP2
CNAG_05008,AP2
CNAG_05042,AP2
CNAG_05043,AP2
CNAG_05060,AP2
CNAG_05097,AP2
CNAG_05122,AP2
CNAG_05131,AP2
CNAG_05135,AP2
CNAG_05212,AP2
CNAG_05218,AP2
CNAG_05224,AP2
CNAG_05225,AP2
CNAG_05234,AP2
CNAG_05248,AP2
CNAG_05267,AP2
CNAG_05270,AP2
CNAG_05282,AP2
CNAG_05305,AP2
CNAG_05307,AP2
CNAG_05314,AP2
CNAG_05338,AP2
CNAG_05339,AP2
CNAG_05395,AP2
CNAG_05404,AP2
CNAG_05419,AP2
CNAG_05503,AP2
CNAG_05552,AP2
CNAG_05562,AP2
CNAG_05577,AP2
CNAG_05585,AP2
CNAG_05606,AP2
CNAG_05607,AP2
CNAG_05612,AP2
CNAG_05613,AP2
CNAG_05628,AP2
CNAG_05651,AP2
CNAG_05671,AP2
CNAG_05673,AP2
CNAG_05687,AP2
CNAG_05702,AP2
CNAG_05704,AP2
CNAG_05705,AP2
CNAG_05721,AP2
CNAG_05733,AP2
CNAG_05734,AP2
CNAG_05774,AP2
CNAG_05791,AP2
CNAG_05801,AP2
CNAG_05818,AP2
CNAG_05839,AP2
CNAG_05845,AP2
CNAG_05881,AP2
CNAG_05899,AP2
CNAG_05901,AP2
CNAG_05926,AP2
CNAG_05971,AP2
CNAG_05977,AP2
CNAG_06014,AP2
CNAG_06024,AP2
CNAG_06027,AP2
CNAG_06080,AP2
CNAG_06086,AP2
CNAG_06114,AP2
CNAG_06128,AP2
CNAG_06130,AP2
CNAG_06224,AP2
CNAG_06300,AP2
CNAG_06351,AP2
CNAG_06416,AP2
CNAG_06417,AP2
CNAG_06451,AP2
CNAG_06473,AP2
CNAG_06475,AP2
CNAG_06532,AP2
CNAG_06553,AP2
CNAG_06564,AP2
CNAG_06592,AP2
CNAG_06631,AP2
CNAG_06660,AP2
CNAG_06661,AP2
CNAG_06664,AP2
CNAG_06675,AP2
CNAG_06710,AP2
CNAG_06718,AP2
CNAG_06731,AP2
CNAG_06738,AP2
CNAG_06739,AP2
CNAG_06754,AP2
CNAG_06775,AP2
CNAG_06792,AP2
CNAG_06834,AP2
CNAG_06852,AP2
CNAG_06906,AP2
CNAG_06910,AP2
CNAG_06971,AP2
CNAG_07000,AP2
CNAG_07315,AP2
CNAG_07359,AP2
CNAG_07408,AP2
CNAG_07414,AP2
CNAG_07418,AP2
CNAG_07453,AP2
CNAG_07475,AP2
CNAG_07482,AP2
CNAG_07558,AP2
CNAG_07562,AP2
CNAG_07592,AP2
CNAG_07624,AP2
CNAG_07679,AP2
CNAG_07812,AP2
CNAG_07814,AP2
CNAG_07848,AP2
CNAG_07849,AP2
CNAG_00871,Ctrl
CNAG_07680,Ctrl
CNAG_02220,Ctrl
CNAG_04983,Ctrl
CNAG_01118,Ctrl
CNAG_02776,Ctrl
CNAG_07745,Ctrl
CNAG_02264,Ctrl
