"","Gene","PostInput_Counts","Mouse1_Counts","Mouse2_Counts","Mouse3_Counts","Mouse4_Counts","Mouse5_Counts","PostInput_log2NormCounts","Mouse1_log2NormCounts","Mouse2_log2NormCounts","Mouse3_log2NormCounts","Mouse4_log2NormCounts","Mouse5_log2NormCounts","Mouse1_L2FC","Mouse2_L2FC","Mouse3_L2FC","Mouse4_L2FC","Mouse5_L2FC","Mouse1_Zadj","Mouse2_Zadj","Mouse3_Zadj","Mouse4_Zadj","Mouse5_Zadj","Avg_Zadj"
"11","CNAG_00141",2396,1190,1731,687,2336,1249,11.4295537325719,11.8028366305303,12.2961483351562,11.1379160406267,13.3292895137216,11.9490860178423,0.373282897958473,0.86659460258436,-0.29163769194518,1.89973578114977,0.519532285270406,0.623607107819339,0.88329390000984,-0.0478704692752772,1.79926466010192,0.631140649161321,0.777887169563428
"12","CNAG_00164",2217,597,306,704,725,355,11.3175768242545,10.8080789326636,9.79748140286946,11.173165910559,11.6416135760443,10.1351220403497,-0.509497891590939,-1.52009542138505,-0.144410913695454,0.324036751789754,-1.18245478390477,-0.164341827043834,-1.10361513052375,0.0823020615179851,0.376126893284066,-0.273368212663375,-0.216579243085781
"13","CNAG_00179",1053,213,569,347,541,231,10.2440981954603,9.32265137802684,10.6916288620785,10.1531687707567,11.2194147416852,9.51588436883519,-0.921446817433429,0.447530666618185,-0.0909294247035302,0.975316546224926,-0.72821382662508,-0.532037546273629,0.53442500192087,0.129588437375929,0.964348917259365,-0.0319651029074773,0.212871941475011
"14","CNAG_00183",344,3,11,18,15,2,8.63252292815178,3.32258008453227,5.04236076698555,5.90727541810584,6.0678832776215,2.87377678828335,-5.30994284361951,-3.59016216116624,-2.72524751004595,-2.56463965053028,-5.75874613986844,-4.44910371991519,-2.82693665856949,-2.19957923280042,-2.23286404194985,-2.70540554169367,-2.88277783898572
"15","CNAG_00191",2466,875,642,1264,794,175,11.4710837770313,11.3593753398535,10.865674314971,12.0172382190745,11.7727323478195,9.11597690716467,-0.111708437177803,-0.60540946206036,0.546154442043134,0.301648570788226,-2.35510686986665,0.190715487994271,-0.342143060656081,0.692874683586545,0.355906365556402,-0.896565781434427,0.000157539009341845
"16","CNAG_00192",2362,1545,1154,1968,1046,2197,11.4089423181217,12.179389109541,11.7113292556761,12.6558474698369,12.1703049495257,12.7636899604616,0.770446791419278,0.302386937554393,1.24690515171522,0.76136263140404,1.35474764233991,0.978106062172757,0.413593480815947,1.31245282295509,0.771110303243208,1.07500988041673,0.910054509920747
"17","CNAG_00193",1421,1140,2666,893,880,142,10.676191212174,11.7409265918196,12.919118783075,11.516118421957,11.9210565692332,8.81511703970409,1.06473537964563,2.24292757090104,0.839927209783037,1.24486535705924,-1.8610741724699,1.24078098938056,2.02908509044746,0.952617816659659,1.20779965598005,-0.634015635831333,0.95925358332728
"18","CNAG_00247",2130,328,194,291,334,1569,11.2598445721972,9.94470359383556,9.1409420540623,9.89949605593869,10.524009190191,12.2780834749508,-1.31514097836166,-2.11890251813491,-1.36034851625852,-0.735835382006186,1.01823890275357,-0.883439500685874,-1.6021194256484,-0.992785479580344,-0.581127019739827,0.896174716184374,-0.632659341894016
"19","CNAG_00269",2773,1772,611,568,505,637,11.640302329589,12.3771210296259,10.7943126255824,10.863630995209,11.1201126674183,10.9780283285275,0.736818700036846,-0.845989704006573,-0.776671334379998,-0.520189662170734,-0.662274001061514,0.94809043530372,-0.542425062294437,-0.476719470158254,-0.386360403506586,0.0030781460393697,-0.0908672709232375
"20","CNAG_00301",1838,566,750,681,619,1116,11.0472213729087,10.7311941256679,11.0898802710064,11.1252663804948,11.4136493123836,11.7866930513267,-0.316027247240816,0.0426588980976916,0.0780450075860841,0.366427939474894,0.739471678417997,0.00834542436405147,0.197371021302319,0.278989448197375,0.414413710151302,0.748025867486013,0.329429094300212
